ADD1,ADD,pass,GoodNight
ADD2,ADD,pass,GoodNight
ADD3,ADD,fail,GoodNight
ADDI1,ADDI,fail,GoodNight
ADDI2,ADDI,pass,GoodNight
ADDIU,ADDIU,pass,GoodNight
ADDU,ADDU,fail,GoodNight
AND,AND,fail,GoodNight
ANDI,ANDI,fail,GoodNight
BEQ,BEQ,pass,GoodNight
BGEZ,BGEZ,fail,GoodNight
BGEZAL,BGEZAL,fail,GoodNight
BEGTZ,BEGTZ,pass,GoodNight
BLEZ,BLEZ,pass,GoodNight
BLTZ,BLTZ,pass,GoodNight
BLTZAL,BLTZAL,pass,GoodNight
BNE,BNE,fail,GoodNight
DIV1,DIV,fail,GoodNight
DIV2,DIV,pass,GoodNight
DIV3,DIV,fail,GoodNight
DIVU1,DIVU,fail,GoodNight
DIVU2,DIVU,fail,GoodNight
J1,J,pass,GoodNight
JALR,JALR,fail,GoodNight
JR,JR,pass,GoodNight
LB,LB,fail,GoodNight
LBU,LBU,pass,GoodNight
LH,LH,fail,GoodNight
LH2,LH,pass,GoodNight
LHU,LHU,pass,GoodNight
LHU2,LHU,pass,GoodNight
LUI,LUI,pass,GoodNight
LW1,LW,fail,GoodNight
LW2,LW,fail,GoodNight
LW3,LW,pass,GoodNight
LWL,LWL,pass,GoodNight
LWL2,LWL,pass,GoodNight
LWR,LWR,fail,GoodNight
LWR2,LWR,pass,GoodNight
MULT1,MULT,fail,GoodNight
MULT2,MULT,fail,GoodNight
MULTU,MULTU,fail,GoodNight
OR,OR,fail,GoodNight
ORI,ORI,fail,GoodNight
SLL,SLL,fail,GoodNight
SLL2,SLL,fail,GoodNight
SLLV1,SLLV,pass,GoodNight
SLLV2,SLLV,fail,GoodNight
SLT1,SLT1,pass,GoodNight
SLT2,SLT,fail,GoodNight
SLTI1,SLTI,fail,GoodNight
SLTI2,SLTI,fail,GoodNight
SLTIU1,SLTIU,pass,GoodNight
SLTIU2,SLTIU,fail,GoodNight
SRA,SRA,fail,GoodNight
SRA2,SRA,fail,GoodNight
SRAV1,SRAV,fail,GoodNight
SRAV2,SRAV,pass,GoodNight
SRL,SRL,fail,GoodNight
SRL2,SRL,pass,GoodNight
SRLV1,SRLV,fail,GoodNight
SRLV2,SRLV,pass,GoodNight
SUB,SUB,fail,GoodNight
SUB2,SUB,pass,GoodNight
SUBU,SUBU,fail,GoodNight
SUBU2,SUBU,fail,GoodNight
SW1,SW,fail,GoodNight
SW2,SW,pass,GoodNight
SW3,SW,pass,GoodNight
XOR,XOR,fail,GoodNight
XORI,XORI,fail,GoodNight
LB2,LB,fail,GoodNight
LH3,LH,fail,GoodNight
